product_id,sku,category,brand,list_price,unit_cogs
1,SKU0001,Beauty,Nova,27.8,19.17
2,SKU0002,Sports,Zenith,31.73,16.79
3,SKU0003,Home,Aurum,29.37,14.98
4,SKU0004,Sports,Aurum,132.66,89.67
5,SKU0005,Sports,Pulse,86.9,45.58
6,SKU0006,Electronics,Zenith,237.32,146.75
7,SKU0007,Home,Sierra,41.45,25.22
8,SKU0008,Home,Zenith,62.86,41.11
9,SKU0009,Home,Pulse,85.33,43.63
10,SKU0010,Sports,Pulse,74.95,49.2
11,SKU0011,Beauty,Zenith,35.16,25.11
12,SKU0012,Home,Pulse,87.58,47.36
13,SKU0013,Sports,Zenith,38.47,25.41
14,SKU0014,Electronics,Nova,88.48,57.2
15,SKU0015,Beauty,Zenith,57.01,36.71
16,SKU0016,Electronics,Zenith,204.21,134.95
17,SKU0017,Beauty,Pulse,32.91,20.94
18,SKU0018,Sports,Pulse,142.98,85.29
19,SKU0019,Accessories,Aurum,58.45,42.45
20,SKU0020,Beauty,Aurum,19.79,10.24
21,SKU0021,Electronics,Nova,112.25,56.64
22,SKU0022,Sports,Aurum,41.33,27.72
23,SKU0023,Beauty,Zenith,13.56,7.86
24,SKU0024,Accessories,Pulse,53.8,27.21
25,SKU0025,Accessories,Aurum,52.58,29.99
26,SKU0026,Home,Aurum,36.23,24.43
27,SKU0027,Home,Nova,84.75,60.97
28,SKU0028,Electronics,Nova,315.22,220.93
29,SKU0029,Beauty,Zenith,24.1,13.12
30,SKU0030,Beauty,Pulse,47.53,33.35
31,SKU0031,Home,Nova,119.1,71.84
32,SKU0032,Beauty,Aurum,28.6,19.85
33,SKU0033,Beauty,Pulse,27.04,19.81
34,SKU0034,Accessories,Pulse,54.34,33.0
35,SKU0035,Home,Aurum,96.33,66.34
36,SKU0036,Sports,Nova,42.37,30.75
37,SKU0037,Home,Aurum,73.0,51.58
38,SKU0038,Sports,Pulse,68.41,49.52
39,SKU0039,Accessories,Sierra,35.57,17.88
40,SKU0040,Electronics,Sierra,369.72,193.3
41,SKU0041,Beauty,Zenith,25.97,19.15
42,SKU0042,Accessories,Aurum,58.02,37.33
43,SKU0043,Beauty,Aurum,41.59,25.46
44,SKU0044,Electronics,Zenith,173.83,101.2
45,SKU0045,Electronics,Zenith,295.21,203.13
46,SKU0046,Accessories,Zenith,51.66,36.03
47,SKU0047,Electronics,Pulse,109.19,68.09
48,SKU0048,Sports,Aurum,36.91,23.53
49,SKU0049,Electronics,Pulse,221.29,159.76
50,SKU0050,Beauty,Zenith,27.55,14.58
51,SKU0051,Beauty,Aurum,17.15,11.84
52,SKU0052,Beauty,Pulse,40.91,21.49
53,SKU0053,Beauty,Pulse,14.21,9.6
54,SKU0054,Sports,Zenith,38.73,27.32
55,SKU0055,Home,Aurum,92.09,47.92
56,SKU0056,Accessories,Zenith,23.39,17.46
57,SKU0057,Beauty,Aurum,28.71,17.02
58,SKU0058,Electronics,Sierra,340.1,250.59
59,SKU0059,Beauty,Nova,59.3,40.82
60,SKU0060,Electronics,Nova,200.4,104.38
61,SKU0061,Electronics,Nova,328.69,210.23
62,SKU0062,Beauty,Zenith,31.21,22.68
63,SKU0063,Sports,Sierra,43.34,27.01
64,SKU0064,Electronics,Aurum,83.63,51.61
65,SKU0065,Electronics,Pulse,98.02,51.92
66,SKU0066,Beauty,Aurum,15.88,10.52
67,SKU0067,Electronics,Pulse,318.73,205.85
68,SKU0068,Electronics,Aurum,387.9,230.3
69,SKU0069,Beauty,Sierra,24.29,17.42
70,SKU0070,Beauty,Pulse,21.18,15.69
71,SKU0071,Accessories,Zenith,20.49,15.21
72,SKU0072,Sports,Aurum,35.18,25.43
73,SKU0073,Sports,Aurum,93.32,69.83
74,SKU0074,Electronics,Pulse,103.61,66.15
75,SKU0075,Sports,Zenith,146.32,92.29
76,SKU0076,Electronics,Zenith,281.41,189.65
77,SKU0077,Accessories,Sierra,38.18,25.08
78,SKU0078,Beauty,Zenith,39.22,28.45
79,SKU0079,Beauty,Zenith,12.27,7.0
80,SKU0080,Beauty,Zenith,57.52,41.56
81,SKU0081,Sports,Nova,84.68,55.47
82,SKU0082,Accessories,Sierra,31.1,17.01
83,SKU0083,Sports,Aurum,85.64,50.39
84,SKU0084,Sports,Pulse,100.04,51.96
85,SKU0085,Accessories,Aurum,58.98,44.03
86,SKU0086,Accessories,Sierra,47.93,30.39
87,SKU0087,Accessories,Pulse,32.38,22.78
88,SKU0088,Accessories,Sierra,47.39,25.62
89,SKU0089,Beauty,Zenith,55.55,39.2
90,SKU0090,Home,Pulse,115.23,78.52
91,SKU0091,Home,Zenith,83.27,50.34
92,SKU0092,Accessories,Aurum,57.31,41.06
93,SKU0093,Home,Aurum,29.3,14.84
94,SKU0094,Home,Pulse,60.76,42.69
95,SKU0095,Accessories,Pulse,59.49,31.98
96,SKU0096,Home,Sierra,81.44,48.47
97,SKU0097,Sports,Sierra,146.39,104.01
98,SKU0098,Electronics,Zenith,348.27,214.94
99,SKU0099,Electronics,Pulse,212.74,120.91
100,SKU0100,Accessories,Aurum,22.26,15.94
101,SKU0101,Beauty,Sierra,50.65,37.98
102,SKU0102,Accessories,Sierra,59.87,38.25
103,SKU0103,Beauty,Aurum,48.45,35.67
104,SKU0104,Electronics,Sierra,351.89,197.7
105,SKU0105,Accessories,Zenith,38.02,20.24
106,SKU0106,Sports,Pulse,144.49,94.14
107,SKU0107,Home,Aurum,46.72,31.21
108,SKU0108,Beauty,Pulse,40.91,24.12
109,SKU0109,Home,Sierra,35.79,23.9
110,SKU0110,Home,Sierra,74.43,51.59
111,SKU0111,Accessories,Aurum,40.81,29.1
112,SKU0112,Home,Zenith,77.43,49.57
113,SKU0113,Sports,Nova,135.2,81.24
114,SKU0114,Home,Aurum,37.73,19.14
115,SKU0115,Accessories,Nova,50.21,32.89
116,SKU0116,Sports,Nova,114.49,63.34
117,SKU0117,Electronics,Zenith,123.64,62.27
118,SKU0118,Home,Nova,58.31,37.75
119,SKU0119,Accessories,Nova,35.69,21.75
120,SKU0120,Electronics,Zenith,369.33,216.82
121,SKU0121,Electronics,Nova,244.48,170.14
122,SKU0122,Beauty,Nova,29.83,19.55
123,SKU0123,Sports,Nova,133.48,98.43
124,SKU0124,Home,Aurum,38.97,28.51
125,SKU0125,Accessories,Aurum,39.68,22.4
126,SKU0126,Beauty,Aurum,32.96,24.56
127,SKU0127,Sports,Zenith,89.11,51.88
128,SKU0128,Beauty,Sierra,41.67,23.34
129,SKU0129,Sports,Nova,39.1,20.81
130,SKU0130,Sports,Nova,45.37,24.41
131,SKU0131,Home,Zenith,38.19,25.21
132,SKU0132,Sports,Nova,51.83,30.39
133,SKU0133,Beauty,Aurum,54.84,33.92
134,SKU0134,Sports,Sierra,110.11,59.8
135,SKU0135,Home,Pulse,43.27,22.08
136,SKU0136,Home,Nova,41.05,23.38
137,SKU0137,Beauty,Aurum,18.85,9.84
138,SKU0138,Electronics,Pulse,118.6,72.96
139,SKU0139,Electronics,Sierra,146.03,86.31
140,SKU0140,Sports,Pulse,90.41,60.81
141,SKU0141,Accessories,Aurum,21.57,15.1
142,SKU0142,Sports,Pulse,105.35,54.83
143,SKU0143,Beauty,Zenith,53.68,39.2
144,SKU0144,Beauty,Pulse,13.05,7.43
145,SKU0145,Beauty,Nova,50.31,34.57
146,SKU0146,Beauty,Nova,19.23,10.62
147,SKU0147,Beauty,Zenith,28.52,17.71
148,SKU0148,Home,Aurum,83.73,49.59
149,SKU0149,Electronics,Nova,228.01,156.61
150,SKU0150,Beauty,Sierra,11.83,6.66
151,SKU0151,Accessories,Nova,48.53,35.13
152,SKU0152,Accessories,Nova,40.47,25.62
153,SKU0153,Accessories,Aurum,24.29,14.86
154,SKU0154,Accessories,Pulse,41.3,23.15
155,SKU0155,Home,Nova,50.58,30.06
156,SKU0156,Accessories,Zenith,20.8,12.07
157,SKU0157,Beauty,Pulse,20.57,11.97
158,SKU0158,Sports,Sierra,44.37,32.06
159,SKU0159,Accessories,Aurum,43.74,29.3
160,SKU0160,Home,Sierra,99.97,62.44
161,SKU0161,Home,Pulse,33.26,21.1
162,SKU0162,Accessories,Pulse,43.47,29.84
163,SKU0163,Sports,Pulse,81.8,43.51
164,SKU0164,Accessories,Sierra,31.35,18.52
165,SKU0165,Home,Pulse,86.36,55.5
166,SKU0166,Electronics,Sierra,193.95,144.81
167,SKU0167,Beauty,Pulse,40.29,22.53
168,SKU0168,Home,Zenith,34.67,18.66
169,SKU0169,Accessories,Pulse,29.84,16.12
170,SKU0170,Beauty,Sierra,19.33,11.04
171,SKU0171,Accessories,Nova,26.93,19.5
172,SKU0172,Accessories,Pulse,23.21,14.65
173,SKU0173,Electronics,Nova,211.33,157.57
174,SKU0174,Beauty,Zenith,15.6,9.35
175,SKU0175,Beauty,Aurum,58.47,41.89
176,SKU0176,Electronics,Zenith,341.46,192.75
177,SKU0177,Home,Pulse,41.23,27.51
178,SKU0178,Accessories,Nova,57.18,36.55
179,SKU0179,Sports,Nova,98.59,56.2
180,SKU0180,Accessories,Sierra,50.78,27.76
181,SKU0181,Accessories,Nova,32.95,19.98
182,SKU0182,Home,Sierra,73.22,41.05
183,SKU0183,Accessories,Aurum,24.59,16.05
184,SKU0184,Electronics,Pulse,172.36,111.23
185,SKU0185,Electronics,Sierra,129.4,80.26
186,SKU0186,Beauty,Aurum,36.63,18.79
187,SKU0187,Sports,Nova,70.39,37.56
188,SKU0188,Accessories,Nova,22.53,16.84
189,SKU0189,Accessories,Aurum,32.89,23.1
190,SKU0190,Home,Nova,49.19,32.98
191,SKU0191,Electronics,Aurum,323.27,209.77
192,SKU0192,Sports,Sierra,86.59,52.21
193,SKU0193,Beauty,Sierra,27.44,20.1
194,SKU0194,Electronics,Aurum,345.8,256.33
195,SKU0195,Beauty,Sierra,16.21,11.07
196,SKU0196,Home,Sierra,114.14,62.24
197,SKU0197,Home,Sierra,31.32,21.46
198,SKU0198,Accessories,Zenith,42.98,30.54
199,SKU0199,Sports,Pulse,46.77,32.68
200,SKU0200,Beauty,Nova,20.08,10.86
